博主,博文,日期,转发数,评论数,点赞数
李小宅Zzzzz,重庆是个神奇的石头城市、但是略显粗糙，给人第一印象湿漉漉的，严重的雾霾，整个城市笼罩在火锅的味道里，典型的西南城市，南方人表示嘉陵江并没有给重庆带来灵气。 |重庆 ,2017-03-13 08:46,,10,7
苗翠馥娥纯,看央视报道，东哥曾想把公司总部搬到宿迁，想法很好，亦庄是北京雾霾最严重的区域，房价也被京东带起来了，相信大部分京东员工也买不起房。如果京东能把宿迁分部给员工盖房子推广到全国，那么，京东分公司是否会逐步成为去中心化的创新基地呢？ ,2017-03-13 08:42,2,,
牛春宝,三亚房地产连续俩月全国涨幅第一 将迎来限贷政策：暂停向购买第三套及以上住房的家庭贷款。评：雾霾逼的！ ,2017-03-13 08:40,1,5,15
科技日报,#两会声音丨罗霞代表：研究雾霾成因需要联合攻关#“我们还没有从根本上对我国的雾霾来源、成因、治理形成一套基础的、科学的、系统的理论研究体系，以指导我们的政策制定和污染防治工作。”罗霞认为，“我们应该成立专门的科研机构，开展基础性的理论研究。”|罗霞代表：... ,2017-03-13 08:37,8,3,1
王鹏律师,好久不坐地铁，@北京地铁 人多，车厢和车站里空气浑浊，感觉比雾霾还严重，窒息的感觉。 ,2017-03-13 08:34,2,5,1
Eniko-,今天一起床心情就明媚得不像话，会不会是因为街道两旁的早樱正开的烂漫，也可能是周一不用上班，或许是要见到离别已久的亲爱的室友了，还是今早刷牙时脑海里忽然构建起的人生规划？不知道，但是就算阴雨雾霾也挡不住心情调高几个亮度。哦，等下，是你明天要回来了。看，我也会把我爱你译成今夜月 ,2017-03-13 08:26,,6,3
會飛的魚8552,虽然现在没有雾霾了但是西安市的车辆现在已经超出饱和状态了。建议仍然使用单双号限行来约束车辆饱和。为了西安的交通舒畅请大家转发 ,2017-03-13 08:24,,,1
JDD只想简单的,谁说北京只有雾霾？韩红听了想打人！！天气又双叒好哭了。早起果然有好处，去问老师有木有活干，老师果断的说有事你就走吧，开心～人生第一次要进看守所了 |北京·中国... ,2017-03-13 08:16,,,4
小石头妈妈1018,今日打道回府 回我大保定府 虽然家里有雾霾 但出门几天甚是想念 这次旅程很愉快 沙滩阳光大海美食 梦想清单又完成一项热带水果我没怎么吃 主要吃了抱螺粉 海鲜捞饭 石斑鱼 椰奶炒冰清凉补等……美食再多 也想念保定的驴火 拜拜三亚 太开心啦 |三亚·三亚... ,2017-03-13 08:16,1,3,3
狂谈雨人_苏彤,#2017年1000㎞跑步计划#25.97/1000第五天打卡。新的一天，新的开始，原来北京的6点事没有雾霾的！ |北京·北京... ,2017-03-13 08:14,,,1
摄影师丘晓风,#厦门旅游##厦门# 雾霾严重 |厦门·湖里... ,2017-03-13 08:08,2,8,2
空灵蓝水晶2016,出世与入世 像一朵浮云，一半入天庭，一半入尘埃；像一棵树，享风花雪月，亦不拒雾霾；像一座山，任岁月沧桑，依旧从容自在。守七寸之地，种几棵素净白菜；拾几片茶叶，静待壶中水开；祝百花生日，宝马香车任去来。这是草民对 ‘’守五叶宗风，粥鱼茶铫宜清净； 祝百花生日，宝马香车任去来。‘’这 ,2017-03-13 08:03,,,1
任性买买哥,肿么肥事？最近肿么多了辣么多雾霾一觉醒来好像去了不知道什么地方？是不是哥修仙成功了？？？早啊~大家注意身体 ,2017-03-13 08:00,2,3,11
Muyura,最近的天气都很好 很晴 没有雾霾 宿舍楼下的小猫一个寒假没见还是这么胖 遇人还是会喵喵的撒娇 学校有些花已经开了可是我不认得那是什么花 不过很香很好看 每天还是要很早起 然后跑去食堂吃早饭然后再赶来上早读 哦对 早饭我还是吃了很多 奶香包小肉包油条鸡蛋再加一碗现磨的豆浆 对了今早还外加了一碗 ,2017-03-13 08:00,1,1,1
璐璐爱自己,雨后的天空终于褪去了雾霾 |江油市 ,2017-03-13 07:54,,2,3
DL董大力妈妈后援团,#二十四小时广州# #董力# 三月的春风吹散雾霾三月的细雨荡涤尘埃三月的嫩绿渲染希望,2017-03-13 07:35,79,167,286
骑士小猪,这不是雾霾，是持续不断的放鞭炮，集美的警察叔叔，你们不管么？@厦门警方在线 |厦门·嘉庚... ,2017-03-13 07:34,,3,2
天真胡邪,杭州今天中雨，有点冷。北京除了雾霾永远艳阳高照。其实不用对比也是够讨厌南方这种阴雨天的。北方如果天气不好那就窝在家里，南方如果天气不好家里也是阴冷潮湿，这点来讲南方的气候也是很狗屎的。but在南方皮肤是真温润细腻。 ,2017-03-13 07:32,1,4,
抗郁长风,13.14公里刷胖立志第3天。从床上爬起来后，胖子问可否隔天一跑，我说你还是祈求雾霾天吧，胖说雾霾天也要游泳…其实一早爬起来我也痛苦，就算是倒逼我们早睡吧。Love is a choice of your own; not a mandatory duty. Love is a choice instead of a chore. ,2017-03-13 07:15,,,1
yoyo韩晓枫,#雾霾，我想对你说#2017年3月13日6点主要城市空气污染排行(前20)：乌鲁木齐183，合肥169，扬州166，镇江159，潍坊157，泰州157，石家庄156，淄博155，本溪154，厦门153，唐山152，广州150，佛山148，南京142，福州140，衡水136，常州135，天津131，马鞍山128，南通126。周一，早安！ ,2017-03-13 06:51,2,3,1
纯真的不能说的秘密sx,Wuli 歌手李健 写的歌 http://t.cn/RV6cwlT 太好听了，我要用尽洪荒之力为TA在音乐人先锋榜上打榜！当雾霾笼罩大地，我没有时间起床唏嘘。 ,2017-03-13 06:29,,,3
盈乐_Castiel重症患者,要说歧视，我目前经历过最严重的歧视就是中国人对中国人的歧视，或者说中国人对北京人的歧视。北京人怎么了，用你家煤气还是吃你家大米了？北京人满世界逼外地人往北京跑了？一个个说起北京来都跟自己是被迫害的良民似的，瞧不起北京别往北京跑啊，雾霾都是北京人自己作的，房价高都是北京人自己炒的 ,2017-03-13 04:44,,2,2
爱普世爱生活,看完这两张图，我想说为什么不援助10000亿呢？500亿怎么拿的出手？强烈要求国家取消免费教育，房价再涨10倍，医院最低消费10万起步，贪官贪污不到100亿不得立案，不要治理雾霾，我们出门自带氧气瓶。爱国从我做起！ ,2017-03-13 04:07,3,,2
东hb,【天开村】在这个“雾霾散尽还复来”的秋冬之交，任何一个好天气都不能虚度！位于韩村河镇天开村东的山上有一条蜿蜒至花海的长约1000米的自然观光步道，沿途分布着葱郁的灌木丛。在山顶可以把3千亩天开花海尽收眼底。自驾车路线：沿京港澳高速琉璃河出口下，到韩村河镇后走岳圣路到天开村。 ,2017-03-13 03:43,,,1
孤独者程歌,爱国不是砸汽车，更不是抵制外国货。爱国是维护这片热土上所有族群的幸福安康，是维护每一个小家庭的日子过得舒舒坦坦。一个面对城管砸摊不敢出声、面对小偷不敢呵斥、面对亲人重病无力交费、面对雾霾只能戴上口罩、面对社会不公不敢发声的人，是无法承担爱国情怀的。动不动就喊抵制日货、韩货、美货 ,2017-03-13 03:34,1,3,10
南-颂,1、前几天看到一个外国人，说可以随便泡中国的妹子，我只能说歪果仁，你睡得是中国的垃圾。2、有妹子吐槽中国不管空气雾霾，不管食品安全，管人家韩国，抵制韩国，妹子我只能说，你就应该去叙利亚，能滚出中国还是赶紧滚吧!嗯 ,2017-03-13 02:26,,,5
一人躲雨,离婚已经第二个月，感觉过了好久一样，我每天表面上若无其事，却在多少个夜晚一个人偷偷哭泣，离婚是痛苦的，但是最痛苦的是适应离婚的这个漫长的过程，我希望所有的苦难到此结束，希望早日被阳光笼罩，不再有雾霾！ ,2017-03-13 01:53,,2,1
_黃叄歲_,凌晨的外滩有风 十级有船 运货有云 雾霾没有人也没有狗有咸鱼@Juno妥妥哒 和可爱的我 |上海 ,2017-03-13 01:04,,1,7
想成为三流段子手的男人,发现自己170斤的第一天，胡志明市。穿过武汉的阴雨，和半个中国的雾霾，带着感冒发烧，但没绝招。语言的界限就是世界的界限。来都来了。 |越南·胡志... ,2017-03-13 01:04,,4,5
海芋萌元星,啊！！！突然好想买甲油哦！！！辣椒砖红，雾霾蓝灰，抹茶豆绿……我手白我骄傲，我骨节均匀我自豪！！！涂粑粑色儿都好看呢嘤嘤嘤（以上就忽略吧，这个世界眼泪太多，很多人都需要一定幻想的空间，才能过得没那么辛苦） ,2017-03-13 00:47,,,1
培正天空,烟雾缭绕的山丘不见踪迹的人群黯然失色的校园灰蒙蒙的雾霾天也许梦醒后重来一切都会初最初,2017-03-13 00:01,,,15
凌波二大爷,顺利到达北京，太勇敢了小咪咪，真想大鼓掌，万里长征啊，在飞机货舱里肯定认识了很多新朋友！好了，在北京吸饱了雾霾再回来，狗还是一只老家的狗，你已经成为北漂猫了，高级高级，有见识！下次大妈我来北京带我去看看天安门，和你小妈一起加油吧，作为一只猫给她招些财！再次 ,2017-03-12 23:51,,6,22
Ljia慧,郑州，一个充满雾霾灰尘的城市，让人爱不起来的地方，一座想要逃离的监狱 ,2017-03-12 23:42,1,2,2
过分理想主义,|一条狗的使...，#一条狗的使命# 狗眼（褒义）看人间，狗是人类的好朋友！小成本电影，故事也很简单，就是小狗狗的反复渡劫，其实是反复帮助人类朋友！但是小主题，却拍的很温馨！人家国家都在人与自然和谐相处了，我们还在斗雾霾。可能这也是我们拍不出这类题材 ,2017-03-12 23:40,,,2
Only丶admit,吸过北京的雾霾，赶过上海的地铁，蹲过深圳的南山。可每一次远游，总有无端的理由，最后也会有无尽的谩骂。不断的从自己的城市到别人的城市，也不断的离开别人的城市去往下一个城市。 这辈子虽然没到头就感觉差些什么，不得劲。 |长乐市 ,2017-03-12 23:36,,,1
丧心病狂李大走,我所认为的美好都发生在晴天里。阴天下雨，躲在家里，趴在被窝里，听着风声和雷雨声我只想着睡觉，哪还有心思雨中浪漫；家这边的下雪天总是不潇洒，刚找到笨爷它就停了，停也就停了，地上一滩水是什么鬼，这样不值钱的雪还如刮刮风、下下雨了事，磨磨唧唧的，不喜欢；最后就是雾霾天了，还不如下雨天。 ,2017-03-12 23:32,,,1
重庆环保,#每天多懂点环境健康知识# 【雾霾成因，这些你弄懂了么？】作为不怎么受人待见的“网红”，PM2.5来的时候总是大张旗鼓，走的时候又悄然无声，留下许多小秘密等待我们解答。来，一起涨姿势！|看部长记者... ,2017-03-12 23:05,16,,1
美食俊俊,#俊俊导食#下午茶时间带网友品鉴界立方二期的唯咖啡，窗外雨一直下，但是一到唯咖啡心情豁然开朗，整个咖啡厅被花海包围，把心中的雾霾驱赶得九霄云外，在吃龙虾宴之前来份愉快的下午茶，到位，五星推荐他家环境，果茶，咖啡都很不错，绝对是约会和商务洽谈的好地方，喧嚣都市中的世外桃源～唯咖啡！ ,2017-03-12 22:55,4,2,4
晓晓揽月,当小宅男变成了宅大叔，是否存在远方人有我一样的感概，外面下着小雨，窗外已经模糊了，应该是雾霾吧！其实挺渴望出去玩的，可是真有这样的机会，自己却又变成了爽约的那个，摸不透的脾气，好烦自己，玩了好多次的王者荣耀，这次卸载应该就是寿终正寝了，事不过三嘛！这也算今天的小改变咯，人生看开了 ,2017-03-12 22:54,,2,1
缑军-SNZGM,植树节到了，为世界多一株植物，就少一些雾霾，公益从自己做起 |西安·长安... ,2017-03-12 22:46,1,1,2
Sunshine_Wang王博文个站,#王博文青春最好时##王博文# 感情就像森林散不去的一场大雾 我只是一直在四处打转盲目寻找 后来遇到了你就像散去雾霾的天明 顿时晴空万里晚安我白@王博文小白 ,2017-03-12 22:45,2,3,45
老小转,我真的喜欢上了北京的生活，昨天还在我们武汉老同学群里跟别人辩论北京的空气质量@张琦北京以前雾霾的确很严重，你的运气也不太好，来的也不是时候。实际上雾霾不是北京独有，不管哪个国家在经济高速发展时期，几乎都要经历这样的过程。英国伦敦也曾是著名的雾都，意大利米兰都是经过多年治理才有现 ,2017-03-12 22:37,,2,1
DWNT,下午四点从北京的雾霾里走出来的男人  凌晨身体不舒服接到任务还第一个挺身而出的男人  把自己一头扎进工作里的男人 是我的英雄 我永永远远都爱你 我永永远远都爱你@王凯kkw ,2017-03-12 22:34,3,2,110
陈懒啊,這是我們认识的第五個年頭了 愛武漢的這所城市 愛的不是雾霾和拥堵 而爱的是在武汉的你们吧 还有我们之间纯粹而真挚的情谊吧 ,2017-03-12 22:32,,6,8
打倒龙蛋,我不爱讨论政治格局，讨论什么政府的阴暗，因为是懂得不多，没有深入了解，那条微博也是讽刺“gjmqwad”这句话罢了，我也确实认为喜欢的人和事首先是个个体，然后才有这些标签。不懂的东西说的太多和那个谁很像。无脑抵制，打砸抢，不分事实的辱骂韩星韩粉，雾霾事件，巫山事件，这些事情足够让我厌恶 ,2017-03-12 22:31,,2,30
政法传媒中心PLC,#政法传媒# 树是自然和生命的象征，树枝繁茂代表着活力与热情，“种下一棵树，与雾霾和沙尘作别；播下希望的种子，收获的便是绿色未来”，尽量少使用一次性筷子，乘坐公共交通工具，低碳出行，做到不乱砍乱伐，不随意踩踏草坪……从点滴做起，共同呵护我们的绿色家园！ ,2017-03-12 22:26,2,2,4
安财贸16届环艺二班,阳春三月，草长莺飞，冬天的寒意还未褪尽，春天带着绿色的气息向我们走来，春风吹绿了枝头上的嫩芽，吹绿了地上的小草，也吹动了人们走进大自然，为大自然增一份绿的热情。全球变暖、雾霾严重、环境污染等一系列问题已经成为社会广泛关注的焦点，2017年3月12日值此植树节来临之际，号召广大同学投身到 ,2017-03-12 22:21,,,1
Uncle-Lau,风雨交加的一天，双流和温江你们不要太明显了，让成都环保下不了台啊@微言环保 @中国环境新闻 @四川环保 @环保部发布 @中国新闻网 @四川发布 #我有问题问总理##成都空气污染##雾霾成都# ,2017-03-12 22:17,1,3,
行者艾君,春天没有雾霾的帝都才是真的首都。 |北京·奥林... ,2017-03-12 22:06,,4,7
图拉鼎,航拍中国之上海还是很美的，只是轻度雾霾还是比较多，估计剧组为了挑好天气拍摄也是尽力了… ,2017-03-12 22:05,2,5,4
Seoyork_xy,“你知道**的雾霾为什么这么重吗？”“是因为太多人在这里把自己的青春燃烧成烟尘了。” ,2017-03-12 21:59,,6,3
妥妥的米,在普吉岛的pullman酒店印象最深的是每天的日落，圆月，繁星，空气里香香的味道，让人回忆起没有雾霾没有手机iPad单纯的小时候无聊时看到的黄昏月亮和星星。今日最佳是各种海水里浮潜游泳还有好吃到缺氧的泰国菜 ,2017-03-12 21:56,,,1
TianMengWei,武汉看一次樱花 成都吃一次火锅 西安吃一次夜市 大理感受一次没有雾霾的天气 想一个人走过来时的路 ,2017-03-12 21:49,,3,28
徐光荣torpedo,我觉得重庆碰上晴天的概率比北京没雾霾的概率还低 |重庆·渝北... ,2017-03-12 21:48,,6,2
甘草一世界glycyrrhiza,三月的天津和北京一样，吹散了雾霾，开始有了好天气。听说桃花开了，吃过午饭，一路走到天津大学，也只看见了两株桃花。大学里的湖总是比别处更宁静了些，水面映着太阳，波光粼粼。想起去年三月和小豆在南京玄武湖公园的时候，她看着湖面说道，真是水光潋滟晴方好。 ,2017-03-12 21:47,7,10,10
大脑壳儿yy,300米的雾霾上海，樱花冰淇淋，漂亮的小丑鱼，涨肚子的上上谦，美丽的老上海，温暖的外滩，还有一路相伴有趣的人，又是新的一年，感谢一路相随，默默铭记于心 |上海·东方... ,2017-03-12 21:44,,1,3
西南科大土建学院土技1601团支部,#土技style##植树节特刊#多一份绿色，多一份温暖，少一点雾霾，少一点套路。@西南科大土建团委 |绵阳·西南... ,2017-03-12 21:39,,,2
笨帽子里的聪明兔子,小白：今晚的月亮又白又圆，在有雾霾的潍坊真是不多见呀！红星：多亏今晚我选的歌，要不然你跑不了那么多圈小白：我蛮喜欢那首歌的《Someshing just Like zhis》，给你加分红星：也不知王炯红在干嘛，又在不理人家，好伤感。小白：总会好起来的，开心开心，只有你开心 ,2017-03-12 21:34,,,1
周新雨呦,|周新雨呦 #就要出众# 打卡第2天，天气不怎么好有些雾霾，可是还是阻止不了我对运动的热情，运动使我快乐（就是跑完嗓子有些不舒服）运动就是和自己的较量，放弃就输了！一起来|打卡社区 蜕变吧！ ,2017-03-12 21:32,,1,3
lhq我的地盘我做主,亲爱的朋友们，你们现在准备睡觉了吗？还是在加班加点中呢？长沙整天都在下雨，整个城市都笼罩在雾霾中，让人感觉很忧郁，问苍天，晴为何物，直叫人干不了衣裤。#植树节# |长沙·长沙... ,2017-03-12 21:24,,1,1
阿浅的夏天,#陆雪琪#雾霾天清肺春季感冒咳嗽雪迷清火润肺必备之银耳雪梨汤 ,2017-03-12 21:20,,12,10
Coco小小小敏,台北雾霾，101上灰蒙蒙的，视野不佳，门票好贵又要排队上，排队下，不值得上去～建议想看高处的风景可以去爬山！其实每个地方的建筑地标都只用拍拍外景就好。说白了大家蜂拥而至也不过是为了留下到此一游印记。上海的东方明珠，韩国的首尔塔亦如此～ |台湾·台北1... 秒拍视频 . ,2017-03-12 21:11,,,1
P酱爱料理,雾霾天不要作死跑步！！！呼吸道跑发炎了..晚上烤个披萨安慰一下自己 ,2017-03-12 21:10,1,6,42
博学多才硕果累累,姜力品牌的定位：  姜力-养生洗护专家，养生洗护在国内是一个市场空白，目前没有成熟的养生洗护品牌存在，而且养生洗护是一个必然被接受的洗护理念，看看我们的生活、雾霾、水污染，出门吃饭甚至都小心翼翼。 所有人的需求其实很简单，就是健康！ 而大家当然希望预防大于治疗，而这就是养生！ ,2017-03-12 21:05,,1,1
穿裤子的小青蛙,一个人 也可以过的很文艺。@雾霾下坚强喘气的我们 @妞妞CAO @冬暮s无果 ,2017-03-12 21:02,,13,10
闫大海海,雾霾被吹走的下午 |临沂·星吧... ,2017-03-12 20:51,,5,7
PM想要小蛮腰,完美躲开雾霾天，登高望远~#沪上阿姨现煮奶茶# 一般般，味道渗透但是太甜。 ,2017-03-12 20:34,,4,5
宁波交通广播FM939,【植树节，各界人士争做地球“生态卫士”】3月12日是一年一度的植树节，奉化滕头园林发起了“抗击雾霾，生态卫士在行动”的环保公益活动，环保行业和园林行业的各级领导专家也从各地赶来，号召更多致力于生态环保公益事业的社会人士一起来做地球的“生态卫士”。（939记者林玲） ,2017-03-12 20:28,,,
啊我是莫妮卡,<我见过三环的风和雾霾>摄影: 丽丽商出镜+后期: @啊我是莫妮卡 |北京·国贸... ,2017-03-12 20:25,,47,55
A-LIN设计志,@微博设计美学 雾霾已经成为了常态，不论生活在哪个城市，雾霾只有轻重之分而已。那么在后期处理的时候，我们就需要客服雾霾对画面的影响，去尽量去除雾霾，恢复风光的本来面貌。因此，我将在这篇教程中教你如何为你的照片去除雾霾，使照片更通透。#ps技巧# ,2017-03-12 20:21,4,,8
闻人娆苒,从前我很喜欢捷豹，总想着，我要努力一点，好好赚几年，最不济也要开上XE，运气好一点直接上XJL。。可是越努力我越发现，开好车开豪车，并不能使一个人的生命更有意义，你一脚油门，引擎轰鸣给了马路存在感，排气管尾气给了雾霾存在感，而你的内心和思想，仍无立足之地。。有时候责怪自己思考太多，后 ,2017-03-12 19:52,,8,4
湘渝Yang,演员手破了就是敬业吗？这社会风气是怎么了？萨德都要装到家门口了你们关心了吗？来来来，来一款小狗吸尘器，吸去你们这些人心中的雾霾 ,2017-03-12 19:22,83,59,327
旧时光杨洋,演员手破了就是敬业吗？来快使用吸尘器，吸走你内心的雾霾还你一片净土复制这条信息，打开手机淘宝即可看到【【新品首发】小狗无线吸尘器D-535 立省200元抢6重大礼】￥Rfi8OQLJ7X￥ ,2017-03-12 19:18,,4,4
我是旅王,看北京霧霾的節目。我去了北京3次，3次都沒遇上霧霾，感覺有點幸運 ,2017-03-12 19:15,,8,13
大V维,没有雾霾的北京真美好骑行什刹海、五道营、西单东单、王府井、长安街～下周去玉渊潭看樱花吧 |北京 ,2017-03-12 19:06,,1,5
每天聪明一点点,一分钟教你了解雾霾|飞碟一分钟 秒拍视频 . ,2017-03-12 19:01,1,,1
林大元同學,#植树节# 不是朋友提起，真心忘了今天是植树节。为了集五福养成了每天早起第一件事去收能量，从来都喜欢步行，每一个脚步踩在大地上才觉得踏实，所以集能量对我来说不是难事，也在不知不觉中种了两颗梭梭树。在北京经历过沙尘暴，在上海经历过雾霾，也在龙虎山经历过蓝天白云、青山绿水带给人的心旷神 ,2017-03-12 18:55,,,2
CarolnRaz,#世界上最好玩的工作##遇见另一种生活# @刺猬实习 @刺猬体验 DAY1 热爱生活就是 雾霾天也要拍出美感 和 在鸡蛋里种多肉 ,2017-03-12 18:43,,,3
Hello--Sun-,想了四年，终于见着了这颗世界最大、国内唯一的大“戒指”，就是雾霾重了点 ,2017-03-12 18:34,2,2,3
安徽吴伟奇,持续的雾霾天气，我的嗓子再次牺牲。过敏性咽炎又一次就范，嗓子痒得难受，干咳。每天都关注着雾霾指数，每次都是前一晚看第二天的显示良好，结果到了第二天都是轻度，中度～玩儿呢？[流泪]接下来该怎么办！[撇嘴] ,2017-03-12 18:32,,,3
Go-woojung,铅灰 中灰 驼灰 雾霾灰 就是喜欢各种灰了吧唧的中性色@onlyanna @ASM店铺微博 ,2017-03-12 18:27,3,221,41
莫奈1988,自己喜欢的事情就赶紧去做，喜欢的东西赶紧买，想去的地方马上去。这才是活着的意义。今日登顶香山，遥看祖国大地，一片雾霾。有幸观瞻中山先生纪念堂，我想近世中国，唯有中山和中正先生才是伟人 ,2017-03-12 18:16,,3,2
郑州特殊警务支队五大队一中队,风里雨里雾霾里，那挺拔的身躯，荧光绿的背影，便是深植于绿城人民身边的平安树！ |郑州·郑州... ,2017-03-12 18:13,1,12,1
照亮世界的人,#午游进行时#大风吹蓝天空，京城连续的蓝天，似乎使大家忘却了雾霾。中午的罗道庄码头，碧水蓝天，阳光灿烂，游船、水域建筑物和桥梁构成了一幅美丽画面。戴上墨镜，着泳衣，斜靠在座椅上，晒了1个多小时，使人暖暖、懒懒的，快睡着了。下河游泳到对岸返回，水温依旧凉爽，估计在8度左右，皮肤红润。 ,2017-03-12 18:07,,2,4
嘿格儿绝对精神,同源餐厅的上方飘满土耳其烤肉烤冷面章鱼小丸子的味道 油烟与雾霾混到一起的黄昏 才是真正的北街 |济南·山师 ,2017-03-12 17:51,,,1
垃圾股投资鸟,大家都知道北京好，顶尖的就业环境，顶尖的教育水平，顶尖的医疗，所有你能想到的，都是最好好的，包括房价和雾霾。『北京的房价是不是正在透支着北京年轻人的创造力和生活品质？ - 匿名用户 的回答 - 知乎』|北京的房价... ,2017-03-12 17:49,,,1
im911,好漂亮，最重要的是没雾霾[捂脸]。可能我们对自己的国家跟北京的朋友们是一样的心情，这里是我的家乡，无论有多少缺点我们都爱他，我们不完美，但我们在进步。我们应该团结对外，永远不要自相残杀。因为我们是亲人，不爱自己的国家，在国外也没人看得起。 秒拍视频 . ,2017-03-12 17:32,,1,8
白宇你站住,成都近年来为什么雾霾这么大，全是因为这些工厂排放的废弃污染，500米内看到两家工厂在排放废弃，崇州往邛崃方向 |成都·大邑... ,2017-03-12 17:14,,,2
木棉精灵,昨儿雾霾，今儿大风，周末两天又是没出门儿。开往春天的火车都快过站了 ,2017-03-12 17:06,,6,2
大理校园事,#大理生活# 【大理大学的樱花已开，赏花的人你在哪儿？】初春的大理，没有灰蒙蒙的雾霾，没有北方的冰天雪地，唯有万里无云的蓝天，和那开得娇艳欲滴的大理樱花！没错，又到一年赏樱的好时节了，大理大学的樱花已经如期绽放，赏花的小伙伴是时候约起来了！大理校园事... 摄影/@禹添才 ,2017-03-12 17:05,31,11,87
奥莉安妈妈,这周我们逛了博物馆，参观了科技馆，爬了山，去了游乐场，还看了动物。雾霾少了，花开了，安安快上幼儿园了。问：想去幼儿园吗？答：想。问：上完幼儿园呢？答：去上学。问：上完学呢？答：去上班。,2017-03-12 16:19,,4,4
VK糖,听说你的城市经常雾霾，担心你独自走在风沉的街道;如果不是你，我或许不会知道，在饭圈还有如此真挚温暖的友谊；与你的对话，一切都是那么让我欣喜和安慰；,2017-03-12 16:16,,3,4
不易despair,我不知道为了梦想还是什么的，只是很想知道怎么呼吸着雾霾看着匆匆忙忙冷眼相对的路人，怎么样把自己的不适应不归为这所城市的糟糕，怎样才能踏实的踩在这与我无关的土地上。 ,2017-03-12 16:08,,,4
白菜省钱君,稳健防尘防病菌口罩25只，9.9入，5袋，每袋有5只，这种防不了雾霾，可以防尘，比一般的口罩质量要好很多 ,2017-03-12 15:56,,13,36
玉思源,没时间来一场长途旅行的话，走出家门踏踏春也是不错的选择。万物开始复苏，雾霾终于远去，我们可以用力呼吸啦。 ,2017-03-12 15:44,,2,7
一路阳光的心心花,永远十八岁。治疗雾霾第一步，从心出发 |长春·德惠... ,2017-03-12 15:32,,2,14
红帽子的豆豆,开学以来中了毒一样单曲循环冷香盏，听着它走过雪天、晴天、雾霾天。说不上为什么这么喜欢，大概是背后的钢琴琶音给我一种时间流过的感觉，仿佛生活一直就是那么平平淡淡的安详美好，人变得静静的。只一点、这一句“是谁在无声无息 寻觅”我每次都听成“是谁在无声无息 续命”…可以说是非常暴力了 ,2017-03-12 15:27,,,8
广西师大社工协会,#植树节#看不见山上绿色的小树，很久了。看不见湛蓝的天空和白色的云，很久了。是啊，很久了，绿色的草原一天天退化，浓重的雾霾覆盖了天空,2017-03-12 15:01,,,2
周添添2013,什么夜华不值得嫁这样的鬼话题还能上热搜，现在营销号是有多闲，我觉得你说的很对，清华不能上，毕竟北京雾霾太大了对身体不好，喂醒醒啊博主和撕逼的姑娘们！！！！你们这个月房租有没有着落啊 ,2017-03-12 15:00,,7,4
毛毛林Anita,每天从早看到晚，国内的雾霾不好，三亚的房价不跌～这里根本不是买房，完全的卖房市场，从20000一平到50000一平都是一个原则：爱买不买，要买赶紧！这哪里是买房，简直是买菜～动辄大几百万的菜菜连思考都时间都没有，更别提谈价钱来一个白眼 |三亚 ,2017-03-12 14:59,,3,3
李庆申,#话说健康# 防霾绝招：穿大衣。不要为了潇洒而短打，穿得太零碎就增大了和有害空气接触的面积，穿长长的大衣，又保暖又健康。 防霾第二招：戴帽子。头发吸附污染物的能力众所周知，出门前戴顶帽子，能够有效预防雾霾的危害。 防霾必杀招：戴口罩。在雾霾天，口罩已经成为日常穿搭的标配，口罩虽然无 ,2017-03-12 14:57,,,
辛谨然,天阴了。好像不是雾霾，灰蒙蒙的。像是弯下腰的天，俯瞰人间。我在宿舍的阳台抬头望着天，心想天应该也在看我吧，毕竟将无垠的视野聚集到微渺一点也是件很难的事吧。打了个喷嚏，这才停止了发呆，回到屋里，爬上床，把整个身子裹进被窝。心想，天也该晴了吧？毕竟天不会总是无聊。#美文# ,2017-03-12 14:51,,,2
阿柴lilythepooh,“城市人可能没办法直接屠村干掉不符合现代文明的“野蛮人”但是可以通过工业化必然招来的污染让他们患癌症团灭”，吓死了，拯救一个童养媳，吃一口雾霾是伐（“虽然村里的童养媳也雾霾死了但是低级人口灭绝了口牙”是吗（。简直比圈地运动还恶心了。#Vanitas vanitatum# ,2017-03-12 14:47,2,1,
理想生活实验室,第三组选手展示了他们的Air Quality Mod，是一款用于空气质量检测的模块，通过专门的激光颗粒物传感器，帮助用户实时监控身边雾霾指数，就算旁边有人抽烟它也会敏感的检测到。这来自深圳本地团队。会不会是这款产品获得@联合国开发计划署 的奖项呢？#Moto全球创客大赛# #实验室在现场# ,2017-03-12 14:38,1,2,2
兔子_JK,今天天津的天很蓝拍照可以不加滤镜没有雾霾桃花还开了真好 |天津·河西... ,2017-03-12 14:28,,1,6
蔡福建123456,许久没有见到雨了，天气突然骤变，下起了中雨，赶跑了多日的雾霾，洗刷了往日的陈旧，街道两旁树木花心看起来也温馨的很多，好像在像我诗意，美丽的古城彰显了他的庄严与威武，护城河里的野鸭嬉戏打闹在雨水中，生命的活力尽显其中，我爱我的家古都西安 |西安·未央... ,2017-03-12 14:22,,2,3
OPPA良人,拔草339，风景真的很好，就是雾霾太大，看不见风景。 ,2017-03-12 14:18,,3,3
