博主,博文,日期,转发数,评论数,点赞数
来年TC舞台存钱中的柳,赌一把雾霾重度污染的警告飞了北京，看到了蓝天…①-⑤上次住这么有年代感的酒店还是十年前（把图片调成黑白就能拍惊悚片⑥觉得北京南京的地铁都莫名像日本…⑦莫名…药妆店⑧看到传媒大学门口的黑暗料理街才觉得活过来了⑨寒冬中温馨的一幕（从从从众之中独独我是 |北京·中国... ,2016-12-02 18:53,,11,7
大连大刘的生活,#大刘户外运动健身队#之12月1日：一共29人（大连平安跑团7人、大连早鸟战队4人、2人无“打卡照”）在美国、新加坡 、湖南、大连进行了例行锻炼并发来“打卡照”～冬季的大连经常受到雾霾的影响，请各位朋友珍惜每一次能够在室外锻炼的机会～ ,2016-12-02 18:52,,,2
大脸莎sha,#成都雾霾#我的天是灰色，我的心是蓝色。爱我就来跟我呼吸同样的空气。 ,2016-12-02 18:51,,,3
lovplush,看一条新闻里提到巴黎、马德里、希腊和墨西哥城到2025年将全面禁止柴油车，然后配了一张雾霾里的巴黎的照片。 ,2016-12-02 18:49,1,2,
西华工管-团总支family,今天的雾霾大家都感受到了吧，外出一定记得带好口罩还有雨伞，这个雨淋了也不太好哦天天重度污染，好气哦，可是还是要笑着活下去 |成都 ,2016-12-02 18:47,1,3,6
无声处听真言,1.虽然这围巾现在觉得很丑，跟今天穿的衣服一点都不搭，但是是李嘉琪送的，她让我穿烂再买刚看中的那个。2.在成成寝室发骚，所以p4是他。3.今天成都雾霾很严重。4.晚上吃的非常辣的面。5.等下去看《你的名字》。无聊的周末，所以选择看这个听说很好看的电影。 ,2016-12-02 18:46,,5,4
逍遥游天下k凡人歌此生,我在南方的艳阳里，吃着冰激凌。你在北方的雾霾里，走路都看不清。如果天空突然下起雨，你会是什么心情？我抬头看着星星，等着倾听…… |普洱·云南... ,2016-12-02 18:39,,6,3
郭亿元__,#成都雾霾# 一首S.H.E的《天灰》送给大家“我的天空今天有点灰...” ,2016-12-02 18:38,,2,2
影子爱人你在哪,喝药的心情如下！成都空气质量差到极点嗓子始终有痰咳不出来咽不下去雾霾笼罩下我想回老家！我的大金川@金川县 ,2016-12-02 18:37,,5,7
jy余建宇,每天看着这种天空真的难受 只能待在寝室不敢出去呼吸 成都的雾霾都是因为彭州工厂造成的 我依稀记得多年前成都还是全国最适宜居住的成都排行一二 现在变这样哪个人还愿意待在这里 如果继续这样我们天天吸雾霾 多年过后对人体的危害不堪设想啊 ,2016-12-02 18:37,1,,3
我叫音乐不是殷乐,感受了三亚夏天，马上要去Peking吸雾霾了 |三亚·三亚... ,2016-12-02 18:34,,21,15
全球潮流时尚榜,零失败爽滑甜橙蒸蛋！雾霾天咳嗽不止？是时候来点治愈系美食啦~今天教你做蛋羹界的人气新星——甜橙蒸蛋，入口即化，丝滑爽口~ 罐头视频的... ,2016-12-02 18:33,140,7,96
雷雯Ah,出门去图书馆写上个月的读书笔记 目睹了今天成都的雾霾 真是绝了 我还是第一次看见姜黄色的天 ,2016-12-02 18:32,,1,7
深山里的小松鼠,#成都雾霾# 应对措施是：不出门 |成都 ,2016-12-02 18:32,,,1
补毛裤,抓紧雾霾严重之前的大好时光，谐趣园探望黑天鹅…… ,2016-12-02 18:31,5,2,4
快乐而又幸运的海绵宝宝,明天起驾回京，旅游假期结束， 一不小心钻进茫茫人海消失在帝都熟悉且可口的雾霾当中。 |贵阳·太慈... ,2016-12-02 18:28,,1,3
火星跑步者,#今日跑休# #雾霾又来了#  今天正好我也觉得疲惫，2016年12月2日17点北京平均空气质量：【中标】149/【美标】181，四级中度污染。老人儿童及心脏、呼吸系统病患避免长时间高强度的户外锻炼。一般人群适量减少户外运动。 ,2016-12-02 18:25,,,
童话西沙微夏,毕业那天，打算写篇长长的文章，以纪念我这些美好的时光，打算最后在去一下济南曾经给我留下所有美好的地方，从此天南海北～其实内心是舍不得的，这些好朋友个个可爱而优秀，这个城市虽然雾霾却温暖，它给了我最美好的一些记忆，并且丰盈了我的过往，我想，我会带着它，温暖前行～一切似乎和原点别无二 ,2016-12-02 18:24,,,1
成都森林920,说事记（568）2016/12/02（周五）上午给休体同学上课，课前共享希拉里（史）的合成照，雾霾天快乐的师生笑，好逗B。这天，一不小心，成了世界第三，打脸？咋天俺们还是幸福指数全国第一，从一到老三，好悲喜，抱怨有用吗？说靠谱点，别在外面晃，门窗关一下，这口罩，虽是小日本的，好用，专门防PM2.5 ,2016-12-02 18:23,1,2,3
南局猪猪,雾霾天的赣州站北咽喉（2） ,2016-12-02 18:22,1,,4
爱旅行的萧吃货,#成都今日雾霾#这刚出了两天太阳，空气就变成这样了。那天看了一个关于PM2.5的动画视频之后对雾霾就有点怕怕的了。这种天气最好还是别出门，出门还是尽量戴口罩吧。 秒拍视频 . ,2016-12-02 18:22,,,4
花儿1310,#最美的风景# 昨天就发布了雾霾的橙色预警，以为今天会烟雾笼罩，但早上的太阳给我了意外惊喜。干罢家务立刻驱车进城，把车停在朋友单位，穿行天安门，到太庙溜达一圈。护城河的薄冰，玉带桥的金鱼，文化宫的古松，红墙下的小家雀儿。舒服而又温暖的冬日。 ,2016-12-02 18:21,,9,14
邹小樱,第一次来成都（宅男本色），为的是@合音量官博 #郑钧花2000万奖励原创#活动。虽然遇上了雾霾天，但在耍都的一日，仍给我留下了深刻的印象。旅游景点宽窄巷，每家店都注重设计和细节，展现了商业和文艺气息的调和；花了三个半小时逛的成都新博物馆，是我逛过国内最棒的博物馆，三星堆、墓船、石像巨兽 ,2016-12-02 18:17,3,18,16
成都餐厅装修公司1,成都雾霾严重、尽量不要在室外逗留！如果您确实需要在室外逗留、敬请使用N95以上的防霾口罩！愿天佑中华！#雾霾的危害##成都餐厅装修公司# |成都·芭菲... ,2016-12-02 18:16,,,
_波妞mm,下班了，天好黑。我在成都，这里的雾霾真的好严重 |成都 秒拍视频 . ,2016-12-02 18:15,,9,5
菏泽巨野县法院,#北京雾霾#【提醒！】据气象和环保部门预计，今天北京有轻到中度霾，南部地区有中度霾，霾天气将贯穿整个周末。未来三天北京空气扩散条件较差，北京已拉响空气重污染橙色预警，并从今天零时起生效，幼儿园、中小学停止户外活动。 ,2016-12-02 18:14,,1,1
曾莉莉儿搞装修,#成都雾霾# 即使下了雨，也洗不掉漫天的雾霾 |成都·金融... ,2016-12-02 18:12,,,1
加菲猫的耗子窝窝,成都今天这爆表的重污染雾霾天，很阴郁，烦躁，配个图，表达下烦躁的小情绪 ,2016-12-02 18:02,,2,2
阿简3-微笑图书室,今天的亲子阅读讲座在解北一小，去之前小猪问：“你去给这些爸爸妈妈讲课，有什么好处吗？”“当然有好处啊，他们回家就会象妈妈一样，每天陪自己的娃娃读书。”其实好处还不止呢：有更多爱读书，会思考的人，将来你就能生活在一个更好的社会。都是为了你呀。希望未来的孩子，不要生活在雾霾中 ,2016-12-02 18:01,,,4
木子佳233,成都咋又是雾霾天我连东苑都看不清楚了 ,2016-12-02 18:00,1,,1
芭莎珠宝,#芭珠美图#但愿这个周末没有雾霾。 ,2016-12-02 18:00,1,,21
蔡谦,今日实时图片：北京、东京、西雅图、洛杉矶、温哥华、加州月亮石海滩（海滩上是海象）、匈牙利布达佩斯、悉尼、德国杜塞。今日实时图片中的北京是中午拍的，今天下午雾霾就上来了，就像预警说的一样。 ,2016-12-02 17:59,,,3
heeeuu,雾霾 只服成都 ,2016-12-02 17:57,,10,2
烤串姜师傅,雾霾，严重污染，明天不会航班延误吧？@航班管家 ,2016-12-02 17:56,,37,8
晖耀李,以前对雾霾没什么感觉或许是因为没在自己身边感觉它就是比一般的雾稍大些直到今天 我们对雾霾有了深刻的认识与了解真的不希望在未来的日子里我们连呼吸一口新鲜的空气都变成奢侈 连打个野球都得挑天气 |吕梁·孝义... ,2016-12-02 17:56,1,4,11
老爷子的烟灰缸缸,【周末气温大起大落 雾霾乘虚而入】明天西南大风继续加大，气温高的恍如深秋！但增温增湿、垂直逆温、京津冀上游输送的三方协作下，辽宁中部、西部的霾会愈来愈浓烈。周日冷空气开始抵抗，白天气温明显回落（相比周六降幅8度上下），午后东部的本溪抚顺一带开始雨雪，雾霾后明显减弱 ,2016-12-02 17:56,2,1,2
余大丽,青岛威海荣成三天，美哭了的风景，醉氧的空气，回到成都瞬间觉得不能呼吸………#雾霾# |成都·一洋... ,2016-12-02 17:56,,5,3
马维敏,下雨雾霾长队严重打消了我上课的积极性 |成都·成都... ,2016-12-02 17:54,,3,9
a山炮a,政府想要取缔小锅炉治理污染必须得有相应的对策 关了怕花钱给安装大暖 不关又害怕雾霾 我们左右为难的临汾市政府呀 |临汾·鼓楼... ,2016-12-02 17:52,,3,4
苏麻喇姑婆,去年冬天也是这样的天色，灰得让人心灰。雾霾如同枯草般，侵袭着节节败退的新鲜空气。也是农历冬月，也是岁末年尾。也是酸辣粉不酸不辣像清汤，也是锅盔涨一块钱少一坨肉。也是听车流熙熙攘攘，也是看人群影影绰绰。也是愿生活轰轰烈烈，也是为未来战战兢兢。 ,2016-12-02 17:49,,4,5
白话心情,养生堂在讲慢阻肺。这个病和抽烟、油烟、雾霾有关。我婆婆检查结果还没全出来，估计是慢阻肺或肺气肿，这都是不能逆转的病，只能是缓解病情、减轻痛苦。目前婆婆能自理，吃饭没问题，就是晚上一小时起夜一次。医院条件挺好的，二人间，房间很暖和，住院用药后人也舒服多了。还顺利！ ,2016-12-02 17:49,,12,
老爷子的烟灰缸缸,京津冀雾霾准备北上了 ,2016-12-02 17:47,4,6,1
美的冷柜,#老味新装情久远#北方冬天积雪多，老一辈喜欢按传统的保鲜方式，把肉挂在窗外或埋在雪里。这样虽然环保，可现在的室外环境不比从前。空气污染，雾霾情况严重，这样储存对健康非常不利。为了家人的健康，给他们一个更好的冻肉储存地儿吧~ ,2016-12-02 17:47,15,16,6
lindamxy,敢问路在何方？成都的雾霾和房价一起飙升 |成都·玉带... ,2016-12-02 17:47,,1,3
极程网,师父，前面云雾缭绕，是不是到了？——师父说：瓜娃子，才到成都！#成都雾霾# ,2016-12-02 17:46,1,2,
子洺咖啡小屋,#成都身边事##成都美食##吃货频道# 周末雾霾天不如来子洺咖啡坐坐 |成都·子洺... ,2016-12-02 17:45,1,,
路飞大叫德玛西亚,#成都雾霾#“猴哥，咱到哪儿了？”“成都” |成都·国航... ,2016-12-02 17:43,1,1,2
新闻联播天气预报,【天气预报的预报】明天，华北等地的雾霾将加重。后天，北京、天津、河北唐山一带率先改善。下周一，北风起，这轮雾霾将告一段落。雾霾肆虐的同时，降水却进入疲惫期。后天，西南阴雨雪大幅消退，不少地方享受到冬日暖阳。而东北截然相反，未来气温走低，回归冬天原本的寒冷。具体今晚蓝一详解。 ,2016-12-02 17:42,1,,5
闻新者,北京的孩子们，趁着雾霾还木有升起，快看金星望月啦！@北京天文馆 @中国国家天文 @EasyNight ,2016-12-02 17:41,,,3
去你的胃,橡木盾的青汁核桃欧包太好吃了 淡淡的青汁味更接近了海苔的味道 核桃是脆的只是太少了 感觉一整个面包只有半瓣核桃今早出门看到雾霾真怀疑自己升天了 ,2016-12-02 17:41,,21,30
宝鸡文物旅游,【在宝鸡冬日的雾霾里 想念黄柏塬的秋色可怜】深秋时节的黄柏塬，一草一木都焕发着灵气。松柏浓郁的绿色与落叶树木呈现出的黄色、红色交相辉映，远山蓝得深沉，白云漂浮其间。想搬去这样的世外桃源生活么？via:西军电小女博 @中国旅游景区摄影大赛 @新浪陕西城市频道 @陕西旅游 @陕西省旅游局@浪西安浪 ,2016-12-02 17:37,12,14,6
雪小妞儿,雾霾都这么严重了！！！还在烧！！！ |德阳·天元 ,2016-12-02 17:37,2,1,
天津8890,【晴有霾 3~11℃】#明日天气# 终于迎来了周末，可雾霾也跟着来了~亲们，外出注意防护~ 据 @天津气象 说：市区今夜到明天晴有霾，微风，3度到11度。明日机动车尾号不限行，驾驶员朋友注意行车安全喏！ ,2016-12-02 17:35,4,2,4
米饭粒海淘返利,#米饭粒送你小米净化器，不惧雾霾天#雾霾频发的冬季，每天在外奔波，吸了一肚子霾，回到家你还在“等风来”吗？饭团君贴心送上超智能小米净化器，10分钟给你新鲜空气！快来转发吧~ 网页链接 ,2016-12-02 17:30,5727,199,17
单人房双人床201508,这就是五点钟成都的天，白天和黑夜有啥区别嘛？都是雾霾惹的祸 |成都·美洲... ,2016-12-02 17:30,,1,3
柚子桔子和橙子,周五雾霾很严重空气很差 外边下着小雨 我在床上想着我的满天星吃着最近心心念念的椰子片 准备看一部以前的电影很幸福(=^^=) |成都·金牛... ,2016-12-02 17:29,,,10
鱼死海枯879,#成都##雾霾又来了##成都雾霾#成都这个雾霾啊已经痛的无法呼吸看不见蓝天看不见小鸟看不见看不见 |成都·仁恒... ,2016-12-02 17:28,1,2,3
任凭狂风暴雨保持发型不乱,再大的雾霾还是要保持发型不乱！ |成都·新都... ,2016-12-02 17:26,,6,3
Meijiu佳人,喉咙痛，雾霾厉害。建议给成都装个防霾滤网或空气净化器，周永康这个恶魔，让他狗日的断子绝孙。还成都人民一个清心的空气 |成都·少陵... ,2016-12-02 17:25,,2,7
映像网老王,前天眼遇有的地方为防大气污染是货车污染了空气车辆分流不准通过货车没法拉活停了，可有的车老板为了响应政府号召买了六十多万的天然气汽车也无法正常运行。治霾，治超还是分流政府一个号令叫车老板无法生存，车款还不上公司和银行要扣车这可怎么办，真是货车造成的雾霾，空气一不好货车成了替罪羊 ,2016-12-02 17:25,4,1,3
美日一诗,#成都雾霾# 国际化大成都。全球排名第三。成都霾，健康霾。浓厚纯正，馥郁芬芳。 |德阳·中江... ,2016-12-02 17:23,1,2,2
two_pomelos,真的好烦这种朦朦胧胧的雾霾天，每个人都脏兮兮的灰头土脸 ,2016-12-02 17:23,,4,4
小鹿西点YAN,工作室阳台上照的，出门需要勇气。雾霾如此严重 |成都·小鹿... ,2016-12-02 17:21,,3,11
就是换个名字换个图像而已,终于知道视力极速下降的病根在哪了！雾霾太大，模糊了我的视线，以前觉得是玩笑话，可是现在我确信无疑了#雾霾西安# ,2016-12-02 17:21,,3,1
睡不够的熊猫眼_,说好的雾霾也不忍心让这美景失色地坛公园get√ |北京·地坛 ,2016-12-02 17:16,,3,9
洛达-Roda,上班标准装备。雾霾太厉害了 |成都·南延... ,2016-12-02 17:13,,2,22
阿雪的尼糯米,看到这个雾霾 想起原来屋头熏的黄烟儿了这个天气出门看君の名は 真是勇士 神木dd的台词功底好好w ,2016-12-02 17:13,,5,3
孤岛化鲸,等着一个下雪天，我们一步一步的漫无目的的走着，一不小心白了头。你笑着说：老头子去哪啊？我说：不管去哪都要在你身边。成都雾霾雨天的西华作陪 ,2016-12-02 17:12,,,4
Gina_Wang,去探望家人和朋友的这几天，没有雾霾的北京很美 ,2016-12-02 17:11,,11,19
ashely_22828,99年西安亲身体验沙尘暴时觉得简直天地间一枝独秀，无可超越了；16年成都穿行在蔼蔼雾霾间，简直如身临好莱坞大片之境，才不禁感叹之前真是井底之蛙。有彭州石化在，成都人民简直可以笑傲江湖，从此东方不败了！ ,2016-12-02 17:07,,2,4
海的蓝BH,夕阳西下的帝都T2机场……美的不要不要的！想吸二口纯正的雾霾都难 |北京·首都... ,2016-12-02 17:04,1,4,11
慧生活的慧子,沁园春·长沙雾霾星城风光，千里朦胧，万里尘飘。望主城内外，浓雾莽莽，高架上下，阴霾滔滔！车舞长蛇，烟锁跑道，欲上城郊把车飙。需晴日，将车身内外，尽心洗扫。空气如此糟糕，引无数美女戴口罩。惜一罩掩面，白化妆了。唯露双眼，难判风姿。一代天骄，东方之门，只见底座不见腰。尘入肺，有不要 ,2016-12-02 17:01,,,1
四川大学围合分团委,纯天然无滤镜黑暗势力——雾霾卷土重来。小围温馨小提示，要外出的小伙伴记得带好防霾口罩微有小雨别忘了雨伞 ,2016-12-02 16:59,,,6
夏日可可kitty,这两天连续的雾霾，还有干燥到爆的天气，皮肤像刚抹完腻子一样，马上就裂开了 |郑州·CBD ,2016-12-02 16:58,,2,5
郑州市气象局,【2016年12月2日17时发布】今天夜里到明天白天：多云转阴天，局部有零星小雨，有霾偏南风： ２到３级 最低气温：2-3度 最高气温：13-14度 4日：多云间晴天，有霾5日：多云，偏北风4级左右，雾霾逐渐减弱消散，气温明显下降。 ,2016-12-02 16:58,1,1,1
番禺天气,预计：未来五天，前期我区气温逐渐攀升，雾霾趋于明显。后期受冷空气影响，气温有所下降，维持干燥天气。《番禺气象》 粤语版 秒拍视频 . ,2016-12-02 16:55,,1,4
吴中旅游,#夜宿太湖边# 我想把生活回归在能 “ 采菊东篱下，悠然见南山 ” 的乡间。听到的车马喧嚣变成虫鸣鸟叫，看到的尾气雾霾变成蓝天白云，叫醒我的闹钟变成缕缕阳光... ...夜色降临的时候，还有悠扬歌声，在山水间萦绕。如果你也想在西山找到一家有情调的客栈，那么可以来漫太湖四季客栈（缥缈峰店）。 ,2016-12-02 16:53,1,,2
老戴服务站007,发表了博文《小心“重雾霾天”成电信诈骗新噱头》小心“重雾霾天”成电信诈骗新噱头周末的南京，被一场突如其来的大雾笼罩，能见度不足五百米，部分地区能见度不足两百米，宁浦航线轮渡也因大雾停航；省内多地也是大|小心“重雾... ,2016-12-02 16:49,2,,
相妄,想给大家讲个故事，故事发生在我们生活这世界，这个被雾霾笼罩没有太阳，被眼色扫射不得喘息，被冷漠推搡无处立足的世界。年轻的梦想被歧视和轻视，善意与友好被抛弃与遗忘。如果我能让什么东西变得更好，我希望，是明天。@王舞王黑炭-愿面具一路平安 |如果我能让... ,2016-12-02 16:49,34,8,50
四川环保,【告诉大家一个不好的消息，成都重返“雾霾状态”】12月2日上午，成都现重度雾霾。根据12月1日晚成都市环保局的消息，成都将在12月4日至12月10日重返“雾霾状态”。据省环境监测总站预测，12月3日，我省盆地西部部分和南部局部城市为轻度至中度污染，盆地西部部分、南部局部和东北部大部城市为良至轻度 ,2016-12-02 16:47,36,408,51
宝安教育在线,2016年的第一场雪，荡涤了雾霾，洗净了碧空。在寒风凛冽的冬日里，西乡中学高一优秀学子开启了北京“名校行”逐梦之旅 。 ,2016-12-02 16:47,,,4
西安吃喝玩乐排行榜,#西安生活# 雾霾中跳广场舞的大妈眼中的自己。没毛病～ ,2016-12-02 16:44,19,15,91
LM时尚时尚最时尚,这个雾霾天 两米之外 人畜不分 ,2016-12-02 16:43,1,1,4
北京HR老兵,#雾霾又来了# 早上起来，天气还可以，到这点，又是雾蒙蒙的，雾霾笼罩京城，周末就老老实实在家呆着吧，而且要把空气净化器开足马力！ ,2016-12-02 16:42,,,1
油子子,#成都雾霾# 哇 今天的雾霾比上盘11月15号的的看起还要猛 天更深了#华阳# ,2016-12-02 16:41,2,2,6
淄博警方,【刑责治污 利剑出鞘】窗外，虽是沉重的雾霾，但她不会总能遮挡蓝天。脚边，河道虽已干涸，但总有一天，会满是清泉。我们虽渺小，但人民警察，一直在为碧水蓝天肩负起沉重的职责，刑责治污，看谁敢动我们的青山绿水，看谁躲在阴暗处以环境为代价赚着昧心钱！来，让我一起，为我们的环境战斗！请和我们 ,2016-12-02 16:41,1,1,3
长腿薏米拔丝,雾霾中国，我一点也不想戴面具#成都雾霾# ,2016-12-02 16:35,,14,7
EilyJewelry爱灵珠宝_鉴定师,雾霾之后的阳光，短暂但温暖 #EilyJewelry# （摄影：曾亮） |北京·北京... ,2016-12-02 16:34,1,1,11
王小咪2,《母亲的唠叨》记得那天早上有霾～那种很严重的霾～窗外的景物变得不那么清晰了～出门前去母亲房间问安～母亲说：戴上口罩～外面有雾霾。那个时候母亲病得已经很重了，神志也不那么清楚了，白天和黑夜都分辨不出来～可是居然“唠叨”着让我戴上口罩防雾霾～瞬间“泪飞顿做倾盆雨”。 ,2016-12-02 16:31,,,1
乐绵晴川,雾霾中的小小艳丽一会被掩盖在口罩里。矮马，咋一晃儿就变湿人了呢 ,2016-12-02 16:30,,,3
西华16会计4班,今天，朋友圈是不是都被雾霾刷屏了呢？据成都气象局预报，未来三天都将是重度污染，大家注意防护哦！雾霾：成都，一座来了就不想走的城市（刚刚淋了雨的小伙伴，记得回寝室换衣服，洗个热水澡哟，不要感冒了） ,2016-12-02 16:30,,6,8
鹿禾森林,有时候做甜品时看到窗外的雾霾天，也会很感慨，很想在时代里做一个叛逆的人，其实已经在这么做了。雾霾天里的一股清风送给你们，拂掉灰尘与焦躁。 ,2016-12-02 16:29,1,3,16
抗郁长风,3公里+1800米，雾霾并没有来。若不是为了这块还算好看的奖牌，才不要人挤人来。胖子，今晚接着跑起？游泳遇到一个89岁的老大爷，把桑拿房温度烧的巨高，给我说：小伙子，看你身板不错，咱俩比一下谁熬的久…听后我立马认怂去洗澡了，这局我赢不了 |北京·北京... ,2016-12-02 16:27,,,1
跑步天涯,【12/2 Fr：场跑12K】AQI 80，14度，多云；引体19。昨雾霾跑休。今晨AQI回落150内但没跑。中午太阳貌似有点大，但两点多出去跑发现还好。较放松跑，配速大多52x。有点口干，12K收工。距1/15金门马又只剩40来天了；完了又有锡马，唉~14:23，配速5:23，心率152/160；月12，年2332K。 ,2016-12-02 16:27,,2,7
王的告别式ICE-Y,成都今天这个雾霾…硬是有点黑人哦…#今日贴纸打卡# ,2016-12-02 16:26,,1,4
无芯傻瓜,天上风筝在天上飞～郑州的雾霾压根就看不到风筝。。。 |郑州·众意... ,2016-12-02 16:26,,1,7
快跑潘小达,机房有多闷闷的快死了 窗户一打开仪器说重度污染 关上无污染但是闷死算了 不怕雾霾的我怕的是上班带空气检测仪且爱讲大道理仿佛再不关窗户我就害大家shi掉了的同事 ,2016-12-02 16:22,,4,
汉中fashion,#汉中# 汉中环保局长？你是住地下室的吗？不出来看看汉中空气？你看看还能天到天吗？纯粹就是住在天宫的嘛！咋能越治越雾霾呢？去年比今年好多了，今年真的感觉非常不好！ ,2016-12-02 16:20,8,1,10
BWY凌苗嘉,终于我们也因为雾霾太重放假了 ,2016-12-02 16:20,,10,16
_独立行走的ET,心情就跟成都的雾霾天一样，控制控制控制气大伤身伤身默念一百遍 ,2016-12-02 16:18,9,4,
你不知道的庄里事儿,#石家庄爆料#  匿名网友爆料： 因为雾霾的关系，晋州一个村里的大众浴池不让开了，小厂子里烧暖气的锅炉也不让烧了。 农民们不能洗澡，而且上班去厂房还无法取暖，这么冷的天没有暖气怎么工作！！ ,2016-12-02 16:18,1,5,5
渝西锋光,难得帝都没有雾霾。阳光明媚还灿烂。有人说，是因为最会吹的人来了。如果最会吹的人们，集体离开了帝都，是不是雾霾就要回来了？@AC饶谨 @flyflyflyflyflyflyflyfly @司马平邦 ,2016-12-02 16:16,5,2,1
錵開彼堓,#家有萌娃# 宝宝满22个月那天，是我们第一次出去吃饭不需要我喂饭了，自己吃奶黄包，喝疙瘩汤，简直感动哭了不过去乐园玩回来就得支气管炎了，看来雾霾严重的时候真不能出门，实在不行就要戴口罩，看儿子吃药哭的稀里哗啦，我也心疼，希望快点好吧！ |天津 ,2016-12-02 16:16,,8,3
Zane-Yang,深吸一口家乡的雾霾  |保定 ,2016-12-02 16:14,,2,12
江帆在民间,《愿你的夜，又静又美》江 帆——星光倾斜。你的白头翁过往的翅膀，在白的哲学里清晰可辨,2016-12-02 16:09,,2,3
砂粒团子,#宋威龙##宋威龙三好差生# 雾霾加大雨，冷到缩一团儿，这个天儿就应该窝在温暖的室内看一本自己喜欢的书，而不是在这里上课所以辣条们在干嘛呢 ,2016-12-02 16:04,,6,6
clarmma,早上才听收音說成都位局各大城市居民幸福指数榜首、幸福个！这劈天气劈雾霾 好黄好暴力，下雨下硫磺的样！！能见度还这么低！况且今天还是周五下班 最高峰的时候 不晓得有好多起事故 下班就在我前面的车砰地一声 吓我一跳！哎！希望人民群众都能安全到达！ ,2016-12-02 16:01,,2,2
远晖摄影,本来想去山里看看赵公山上的那棵大银杏树，打电话问附近的农家乐老板，说树叶早掉光了。只好去新繁龙藏寺看看，里面也有几颗大银杏树，树叶还没有黄到最极致的时候，等树叶掉落铺满地的时候一定很好看，墙角还有一大从自由生长的茂盛多肉植物群，雾霾越来越严重，只好捡了一些多肉植物赶紧回家！ ,2016-12-02 16:01,,,2
鄂尔多斯新闻网,【我市空气质量逐年向好 】当前，全国不少城市被雾霾笼罩，而在鄂尔多斯，一年当中的绝大多数时间里，都是蓝天白云相伴，空气清新爽朗，让生活在这片蓝天下的市民格外惬意，采访中不少市民表示，有一种蓝，叫“鄂尔多斯蓝”。记者从市环保局采访了解到，在市委、市政府高度重视和正确领导 ,2016-12-02 16:00,3,5,1
男同学-Biu,没错！是新鲜的雾霾！#成都雾霾迎接来年# ,2016-12-02 15:59,,1,1
河北新闻网官方,河北省气象台预计，12月2日到4日，随着静稳天气的建立，我省中南部地区气象扩散条件逐渐转为不利，大部地区有中度霾，局地有重度霾。4日起随着冷空气的到来，雾霾将有所缓和，从5日凌晨开始雾霾天气将得以缓解。 ,2016-12-02 15:55,1,3,1
爱摄影的陈同学,昨天拍到的@海南航空 Kungfu panda~只是这天空，好不容易来趟大虹桥就给我看雾霾，一个月前拍A350也是这样(摊手)(摊手)#航空摄影#@铁摄联-U_T_P |上海·上海... ,2016-12-02 15:54,2,7,8
建国大业首映没,@成都发布 请问哪里有政府电话，想了解为什么这么美的西部城市成都现在雾霾成这样了？到底发生了什么事？ ,2016-12-02 15:53,,7,4
玻璃球的夏,雾霾今天超级严重，据说明后两天也是！完全没有出去玩的欲望了！这是我大成都的雾霾，一座来了就走不脱的城市！xx石化在全国遭抵制，却在成都的上风口安了家，好想搬去云南 ,2016-12-02 15:53,,,4
我爱厨房韩伟,昨晚八点启航，经过一夜航行，这会已经已经远离雾霾了。 |威海·环翠... ,2016-12-02 15:48,,2,13
成都摄影工作室木乙映画,成都雾霾天，两点过天就黑了这个天，只能这样拍照有没有愿意尝试的，报名 |成都·北新... ,2016-12-02 15:43,,4,2
莳姩执箹_苏沐瑞,世界上太多事情都是，我以为怎么怎么样的，其实事实并不是这样，我以为是两个人在共同努力着的，其实不是，我以为是两个人在互相理解，互相配合着的，其实不是，太多的都是我以为没有想到的是原来一直只有自己在努力着！现在的结果就像这雾霾和冬天一样，让人心寒的难受，让人看不清眼前的路该往哪里走 ,2016-12-02 15:43,,7,1
西南石油大学微博协会,#谈七聊八#柚子们们才发现雾蒙蒙是雾霾呀，从遥远的山那边走过来，口罩一直揣在兜里，结果吸了一肺霾，柚子们，记得戴口罩 ,2016-12-02 15:43,,3,4
墓曲SSS,石家庄的雾霾果然名不虚传。。。。还限号，心疼石家庄的朋友们，加着国五标的油，开着国五标的车。。。还得吸着这混沌的空气，车都不让开，果然是挨着北京 |石家庄·水... ,2016-12-02 15:34,,20,6
银杏传媒中心,#杏仁儿说##雾霾# 北上广不相信眼泪，京津冀不相信好肺，郫县人不相信雾霾然而大白天的雾霾说来就来，黑压压的一片，真是好怀念郫县的蓝天。小杏仁儿们，雾霾天气，出门记得戴口罩哦 ,2016-12-02 15:31,2,10,13
青青虫的微博,要不是雾霾这么严重的话，这东西可能还真有点用 ,2016-12-02 15:31,5,11,23
新浪四川,【成都发布霾黄色预警 未来24小时空气污染加重】今天，成都完全被雾霾笼罩，灰蒙蒙一片。下午14时，@成都气象 发布霾黄色预警：预计24小时内成都大部分地方有霾，其中彭州、郫县、温江、双流、龙泉驿、天府新区等多地有中度霾，空气污染程度可能加重，请注意防范。报坐标，说说你周围的情况。 ,2016-12-02 15:30,651,2176,692
蜜丝赵小姐,就是想去个没有雾霾的地方发发呆可以大口呼吸新鲜空气 ,2016-12-02 15:28,,10,3
